ID;Term;Begrepsforklaring;Definisjon;Språkversjoner;Beskrivelsestype;Alternative termer;Kilde;Frarådde termer;Eksempler
BEGREP-2011;Automatisert avgjørelse;En automatisert avgjørelse er ikke det samme som dataprofilering.;"""En avgjørelse som foretas helautomatisk, uten menneskelig påvirkning, ...] og som har rettsvirkning eller på tilsvarende måte i betydelig grad påvirker vedkommende.""";Bokmål;Faglig definisjon;;"Datatilsynets presentasjon på NAVs Personvernforum 17. april 2018; 
EUROPAPARLAMENTS- OG RÅDSFORORDNING (EU) 2016/679 av 27. april 2016 om vern av fysiske personer i forbindelse med behandling av personopplysninger og om fri utveksling av slike opplysninger samt om oppheving av direktiv 95/46/EF (generell personvernforordning) GDPR] artikkel 22.";;
BEGREP-2010;Dataprofilering;"""Profilering omfattes av reglene for behandling av personopplysninger i GDPR (fortale 72) 
- Prinsipper (art 5) 
- Behandlingsgrunnlag (art 6 & art 9) 
- Rettigheter 
- DPIA""";"""Enhver form for automatisert behandling av personopplysninger som innebærer å bruke personopplysninger for å vurdere visse personlige aspekter knyttet til en fysisk person, særlig for å analysere eller forutsi aspekter som gjelder nevnte fysiske persons arbeidsprestasjoner, økonomiske situasjon, helse, personlige preferanser, interesser, pålitelighet, atferd, plassering eller bevegelser.""";Bokmål;Faglig definisjon;Profilering;Datatilsynets presentasjon Personvernforum 17. april 2018.;;
BEGREP-1962;NAVs organisasjonsmaster;"Registeret skal være autoritativ kilde for, og det eneste stedet for vedlikehold av organisasjonsdata.  Det skal forsyne alle andre systemer som benytter opplysningene med oppdatert informasjon. 

Det er ikke besluttet i hvilken form NAV sin organisasjonsmaster skal realiseres. Beskrivelsen er derfor per februar 2019 på et generelt nivå.";"master for NAV sin organisasjonsstruktur og ressurser. 

 ";Bokmål;Faglig definisjon;;;"NAV organisasjonsdatabase var ment å dekke det samme. Gjennom arbeidet etter 2014 er ""Organisasjonsmaster"" blitt innarbeidet som begrep.";
BEGREP-1951;Datasett;"Et datasett kan være av forskjellig format, og inneholde alt fra en tabell med to kolonner til mer omfattende dokumenter. Det kan være statistikk, eller tolkning av koder. 

Et datasett kan også være sammensatt av to eller flere datasett, der man for eksempel lager en nøkkel for å knytte informasjonen til riktig bruker.";"""et datasett er en organisert samling av data.""";Bokmål;Faglig fortolkning;;"""Hva er et datasett"". Difi. Hentet 7. februar 2018 fra https://www.difi.no/fagomrader-og-tjenester/digitalisering-og-samordning/nasjonal-arkitektur/informasjonsforvaltning/hva-er-et-datasett-og-hvilke-datasett-skal-beskrives";;"- Hekkende grågås i Oppdal mellom 2014 og 2018 
- Mottakere av AAP i 2017 
- Kodeverk 
- Utbetalingsinformasjon"
BEGREP-1950;Pseudonymiserte data;;"""pseudonymisering vil si at enkelte direkte identifiserende parametere erstattes med pseudonymer, som fremdeles vil være unike indikatorer."" 
";Bokmål;Faglig definisjon;;"""Anonymisering av personopplysninger"". Hentet 1. februar 2018 fra https://www.datatilsynet.no/globalassets/global/regelverk-skjema/veiledere/anonymisering-veileder-041115.pdf";;
BEGREP-1942;Instititusjonsoppholdregisteret;Det er flere typer institusjonsopphold. Disse har forskjellige konsekvenser for beregning og utbetaling av ytelsene fra norske trygdemyndigheter.;et register som inneholder informasjon om brukeres opphold på institusjoner.;Bokmål;Faglig definisjon;INST;;Institusjonsregisteret;"- Opphold i somatiske sykehusavdelinger – gjelder spesielt for sykepenger 
- Opphold i helseinstitusjon under statlig eller fylkeskommunalt ansvar ekskl. somatiske sykehusavdelinger 
- Opphold i fengsel – herunder varetekt, soning, sikring og forvaring 
- Opphold i alders- og sykehjem"
BEGREP-1923;Medlemskapsregisteret;"Dette inkluderer de som er pliktige eller frivillige medlemmer og de som er unntatt fra medlemskap, der NAV Medlemskap og avgift har foretatt en vurdering av personens lovvalg eller medlemskap. 

MEDL inneholder i tillegg perioder over studenter som studerer i utlandet med støtte fra Lånekassen.";et register med oversikt over medlemskap i folketrygden som avviker fra normalen.;Bokmål;Folkelig forklaring;MEDL;;;"Eksempel på avvikende medlemsskap som likevel er pliktige: 

- Utsendt medarbeider som jobber i utlandet men som søker og får innvilget fortsatt medlemskap i norsk trygd 
- Studenter som studerer i utlandet med støtte fra Lånekassen."
BEGREP-1922;Institusjonsregisteret;;et register med oversikt over alle institusjoner i Norge.;Bokmål;Folkelig forklaring;INST;;;"Eksempler: 
- Abildsø sykehjem 
- Bredtveit fengsel og forvaringsanstalt 
- Dikemark sykehus 
- Solund dagsenter"
BEGREP-1919;Hybridpensjon;"""Hybridpensjon ligner mest på en innskuddspensjon i opptjeningstiden. Innskuddene er en prosent av lønn, men for å sikre lik pensjon for kvinner og menn er det høyere sparing for kvinner. I utbetalingstiden er likhetene større med ytelsespensjon, blant annet ved at pensjonen kan gjøres livsvarig og man er fortsatt medlem av pensjonsordningen.""";"""hybridpensjon er en mellomting mellom dagens ytelsespensjon og innskuddspensjon.""";Bokmål;Faglig definisjon;;Storebrand;;
BEGREP-1916;Særaldersgrense;"«Den alminnelige aldersgrense er 70 år. Det kan fastsettes lavere aldersgrense for stillinger hvor: 

a) Tjenesten medfører uvanlig fysisk eller psykisk belastning på tjenestemennene slik at de normalt ikke makter å skjøtte arbeidet forsvarlig til fylte 70 år. 

b) Tjenesten stiller spesielle krav til fysiske eller psykiske egenskaper, som normalt blir sterkere svekket før fylte 70 år enn det en forsvarlig utføring av tjenesten tilsier. 

De lavere aldersgrenser kan være 68, 65, 63 og 60 år. 

Stortinget fastsetter de lavere aldersgrenser når de endrer vilkårene for større grupper eller vedtaket kan ha prinsipiell betydning. Ellers fastsettes aldersgrensene av Kongen eller den han bemyndiger. Vedkommende departement kan imidlertid fastsette slik lavere aldersgrense inntil endelig avgjerd er tatt. 

Den som går inn under denne lov, plikter å fratre ved første månedsskifte etter at aldersgrensen for stillingen er nådd.»";med særaldersgrense innen pensjon menes aldersgrenser som er lavere enn den generelle på 70 år.;Bokmål;Faglig definisjon;;Tjenestemannsloven;;
BEGREP-1907;Eksternt dokument;;et dokument som inngår i korrespondanse med noen utenfor organet.;Bokmål;Folkelig forklaring;;;;"- Inngående dokumenter 
- Utgående dokumenter 
- Samhandlingsdokumenter"
BEGREP-1905;Utgående dokument;;et dokument som et organ sender til et annet offentlig organ, eller til en fysisk eller juridisk person.;Bokmål;Folkelig forklaring;;;;"- Et vedtak 
- En forespørsel om innhenting av opplysninger hos en aktør 
- Et brev som NAV sender til bruker eller en samhandler"
BEGREP-1904;Inngående dokument;;et dokument som et organ mottar fra et annet offentlig organ, eller fra en fysisk eller juridisk person.;Bokmål;Folkelig forklaring;;;;"- Søknad med eller uten vedlegg som brukeren har sendt inn til NAV|BGEREP-121] 
- Legeerklæringer 
- En forespørsel om opplysninger som NAV mottar fra andre offentlige eller private aktører"
BEGREP-1898;Klageinstilling;"Instillingen om å opprettholde det opprinnelige resultatet sendes til overinstansen, som deretter fatter sitt vedtak. 

Dersom underinstansen gir helt eller delvis medhold, gis aldri en klageinstilling.";når underinstansen instiller på at det påklagede vedtaket stadfestes.;Bokmål;Faglig fortolkning;;;;
BEGREP-1891;Virksomhetsspesifikke metadata;"""Disse metadataene må da være spesifisert i et eller flere XML-skjema."" 

Dette metadataelementet er ikke definert i Noark 5-standard, men kan defineres og tilpasses av den enkelte virksomheten ut fra forretningsbehovet de har.";"""et overordnet metadataelement som kan inneholde egendefinerte metadata.""";Bokmål;Faglig definisjon;;"""Virksomhetsspesifikke metadata"". I: Noark 5 (pdf), vedlegg nr. 1, side 62, felt M711; 
Noark 5 v4.0 (pdf). Side 119; 
Domenemodell for Joark ttps://confluence.adeo.no/display/BOA/Joark+-+Informasjonsmodell.";;"Joark inneholder en del virksomhetsspesifikke metadata: 
fagsystem; 
feilregistrert; 
fagområde; 
kravType; 
mottakskanal; 
utsendingskanal; 
fordeling; 
land; 
originalBestilt; 
faktDistrKanal; 
elektroniskDistr; 
datoSendtPrint; 
datoLest; 
mottattAdressat; 
antallRetur; 
datoAvsRetur; 
brukerType; 
tilleggsopplysninger; 
brevKode; 
dokumenttypeId; 
brevGruppe; 
originalJournalpostId; 
sensitivt; 
konfidensialitet; 
integritet; 
tilgjengelighet; 
innskrenketPartsinnsyn; 
organInternt; 
konvertSystem; 
batchNavn; 
filNavn; 
innskrenketPartsinnsynSattFraTredjePart."
BEGREP-1890;Interoperabilitetsstyring;I EUs rammeverk for interoperabilitet, EIF, er interoperabilitetsstyring tatt inn som et underliggende lag sammen med det tverrgående laget, integrert offentlig forvaltning, og de ordinære interoperabilitetslagene juridisk, organisatorisk, semantisk og teknisk interoperabilitet.;en helhetlig tilnærming til interoperabilitet, bestående av blant annet rammeverk, avtaler, organisasjonsstrukturer, roller og ansvar og som samler alle verktøyene som trengs for å sikre og å overvåke interoperabilitet både nasjonalt og internasjonalt.;Bokmål;Faglig definisjon;Interoperability governance;Oversatt fra New Interoperability Framework for European Public Services, s. 22. European Commission, EC. (2017). Hentet 21. juli 2017 fra https://ec.europa.eu/isa2/sites/isa/files/eif_brochure_final.pdf;;
BEGREP-1876;Personvern;"""Alle mennesker har en ukrenkelig egenverdi. Som enkeltmenneske har du derfor rett på en privat sfære som du selv kontrollerer, hvor du kan handle fritt uten tvang eller innblanding fra staten eller andre mennesker.""";"""retten til et privatliv og retten til å bestemme over egne personopplysninger.""";Bokmål;Faglig definisjon;;Hva er personvern? Datatilsynet (2018). Hentet 09.10.2018 fra https://www.datatilsynet.no/rettigheter-og-plikter/hva-er-personvern/;;
BEGREP-1874;Funksjonelle krav;;"krav om ""b]eregninger, teknisk informasjon, datamanipulasjon og behandling, og andre spesifikke funksjoner som definerer hva et system er ment å oppnå.""";Bokmål;Faglig definisjon;;"""Supplement 4-A, A Procedure for Requirements Analysis"". Systems Engineering Fundamentals (PDF). United States Government US Army. 2001. ISBN 978-1484120835.";;
BEGREP-1873;Etterlevelseskrav;"Utvikling av IT-løsninger skaper nye situasjoner som lovgiver ikke har tenkt på, og dette utfordrer de tradisjonelle tolkningene av dagens regelverk. Med bakgrunn i dette er det utarbeidet etterlevelseskrav for systemutvikling i NAV, som er publisert på Arkitekturportalen og som inngår i NAVs kvalitetskrav|https://jira.adeo.no/browse/BEGREP-1277]. 

Etterlevelseskravene er krav med hjemmel i felles regelverk på tvers av områdene i NAV, eksempelvis forvaltningsloven, personopplysningsloven, eForvaltningsforskriften, arkivloven mv. 

De fleste etterlevelseskravene befinner seg i grenseland mellom funksjonelle krav|https://jira.adeo.no/browse/BEGREP-1874] og kvalitetskrav til de løsningene som skal utvikles. Det er opp til hvert enkelt prosjekt å ta stilling til hvilke av kravene som gjelder det systemet som skal utvikles, operasjonalisere kravene og sørge for at NAV etterlever regelverket. 
";juridiske rammer og føringer som er omdannet og tilpasset til krav for systemutvikling i NAV|https://jira.adeo.no/browse/BEGREP-121].;Bokmål;Faglig definisjon;Ikke-funksjonelle krav til etterlevelse, Etterlevelseskrav for systemutvikling i NAV;"LOV-2000-04-14-31 Lov om behandling av personopplysninger (personopplysningsloven), 
LOV-1967-02-10 Lov om behandlingsmåten i forvaltningssaker (forvaltningsloven), 
LOV-1992-12-04-126 Lov om arkiv arkivlova], 
LOV-1997-02-28 Lov om folketrygd (folketrygdloven), 
FOR-2004-06-25-988 Forskrift om elektronisk kommunikasjon med og i forvaltningen (eForvaltningsforskriften), 
Reglement for økonomistyring i staten mv.";;"ETTERLEV-55 Bekreftelse til avsender om at en henvendelse er mottatt: 
Ved mottak av elektroniske henvendelser skal NAV bekrefte overfor avsenderen at henvendelsen er mottatt. 

Funksjonalitet for å sende elektronisk bekreftelse til avsender om at den elektroniske henvendelsen er mottatt. Bekreftelsen bør gis straks henvendelsen er mottatt. Den bør inneholde et referansenummer (evt. saksnummer) og tidspunkt for mottak. 

Bekreftelse kan unnlates dersom: 
- henvendelsen ikke utløser saksbehandling, eller 
- mottaket fremgår på annen betryggende måte, og 
- når henvendelsen besvares straks 

Oppfylles i systemløsningen ved at avsender av elektronisk melding mottar elektronisk bekreftelse fra NAV om at henvendelsen er mottatt, samt referansenummer og tidspunkt for mottak. 

Hjemmel: eForvaltningsforskriften § 6"
BEGREP-1872;Eksternt grensesnitt;Grensesnittet omfatter de elementene i en samarbeidsprosess som leveres av organisasjonen selv, samt elementene som organisasjonen forventer fra samhandlere.;et grensesnitt mellom virksomheter, som omfatter all informasjon som er relevant for samhandlere, for å inngå en samarbeidsprosess mellom virksomheter.;Bokmål;Faglig fortolkning;;"""Grensesnitt"". I: Store norske leksikon. Hentet 2. oktober 2017 fra https://snl.no/grensesnitt; 
""Grensesnitt - IT"". I: Store norske leksikon. Hentet 2. oktober 2017 fra https://snl.no/grensesnitt_-_IT.";;Det lages et elektronisk grensesnitt mellom to eller flere private eller offentlige virksomheter/enheter om utveksling av informasjon mellom disse, f.eks en web service der ansatte i NAV kan logge inn i system til UDI og innhente informasjon.
BEGREP-1866;Dokumentkatalogen;Dokumentkatalogen benyttes for både dokumenter vi produserer og dokumenter vi mottar. ;en applikasjon for å registrere og hente metadata om dokument- og varseltyper.;Bokmål;;Dokkat;"""Systemdokumentasjon for Dokumentkatalog"". Hentet 10. august 2017 fra https://confluence.adeo.no/x/_4JdBw";;
BEGREP-1858;Skjønnsmessig vurdering;"Skjønnsmessige vurderinger forekommer i alle typer regler, men typisk i forvaltningsretten. ""Vanligvis er det slik at et saksforhold enten oppfyller vilkårene i en lovbestemmelse eller ikke, ut fra en rettslig standard. Dersom saksforholdet medfører at vilkårene er oppfylt, så inntrer de rettsvirkninger som bestemmelsen fastsetter. Bestemmelsen inneholder med andre ord en slags fasit på hva som er rett eller galt. Slike rettsligstyrte bestemmelser kan naturligvis inneholde vage og skjønnsmessige vilkår, men det er likevel i prinsippet alltid et rett og et galt svar. ...] 

I forvaltningsretten finner vi imidlertid mange bestemmelser som gir forvaltningen rom til å selv velge. Noen ganger har forvaltningen myndighet til å velge hvilket innhold et vedtak skal tillegges. Andre ganger kan forvaltningen ha myndighet til å velge hvorledes et vilkår skal anvendes. Fellesbetegnelsen er at forvaltningen er gitt et fritt skjønn. Betegnelsen forvaltningskjønn er et annet ord for det samme. Forvaltningsskjønnet begrunnes i hovedsak ut fra det politiske perspektivet. Forvaltningen er regjeringens redskap og regjeringen utgår av Stortinget. Formålet med forvaltningskjønnet er å gi forvaltningen et politisk handlingsrom i et antatt demokratisk styre.""";en vilkårsvurdering der saksbehandler må bruke skjønn for å komme fram til resultatet, fordi rettsregelen inneholder vage begreper.;Bokmål;Faglig definisjon;;"""Skjønn"". I: Jusleksikon. Hentet 8. juni 2017 fra www.jusleksikon.no; 
""Forvaltningsskjønn"". I: Jusleksikon. Hentet 8. juni 2017 fra www.jusleksikon.no.";;
BEGREP-1853;Pålegg;I motsetning til ved en oppfordring, vil det ha rettsvirkninger dersom brukeren ikke etterkommer et pålegg.;en beskjed om å gjøre noe, og dersom man ikke gjør dette har det konsekvenser.;Bokmål;Folkelig forklaring;Påbud, ordre, instruks;LOV-1997-02-28-19 Lov om folketrygd (folketrygdloven) § 21-7.;Oppfordring, anbefaling, anmodning;"- Pålegg om å ettersende dokumentasjon 
- Pålegg om å stille på møter med NAV"
BEGREP-1852;Dokumentmottak;Dokumentmottak koordinerer og utfører operasjoner for forretningsfunksjonen Mottak av dokumentasjon.;en felles løsning for mottak av dokumenter i NAV.;Bokmål;;Dokmot;"""Systemdokumentasjon for Dokumentmottak"". Hentet 30. juni 2017 fra https://confluence.adeo.no/x/M_IPD]";;"- Motta inngående dokumentasjon 
- Hent metadata for journalføring 
- Hent regler for arkivering og videre behandling 
- Lagre med metadata til riktig arkiv 
- Informer behandlende systemer"
BEGREP-1848;Årsoppgave;"For eksempel, bankenes bruk av ""årsoppgave"" for innskudd og renter.";en melding med årsopplysninger som danner grunnlag for skattemelding og fastsetting.;Bokmål;;årsoppgave;Skatteetatens ordliste i forbindelse med Ny skatteforvaltningslov;;
BEGREP-1847;Vedtak om fastsetting;;myndighetenes vedtak om skattefastsetting herunder skjønnsfastsetting.;Bokmål;;ligningsvedtak;Skatteetatens ordliste i forbindelse med Ny skatteforvaltningslov;;
BEGREP-1846;Vedtak;Hentet fra definisjoner i Lov om Skatteforvaltning.;en avgjørelse som treffes under utøvelse av offentlig myndighet og som generelt eller konkret er bestemmende for rettigheter eller plikter til enkeltpersoner eller private rettssubjekter.;Bokmål;;vedtak;Skatteetatens ordliste i forbindelse med Ny skatteforvaltningslov;;
BEGREP-1845;Utskrift av grunnlag for skatt;"Kan eventuelt bruke ""utskrift av skattefastsettingsgrunnlag""
Merk at gammelt og nytt begrep er ulike siden ligning ikke finnes lenger.";oversikt over skatteberegningen som man får når skatteoppgjøret er ferdig.;Bokmål;;utskrift av ligning;Skatteetatens ordliste i forbindelse med Ny skatteforvaltningslov;;
BEGREP-1844;Tvangsmulkt;Tvangsmulkt ilegges i forkant og er ment som insentiv for at oppfyllelse skal skje, i motsetning til Overtredelsesgebyr som er å anse som straff etter EMK og ilegges i ettertid som pønal reaksjon.;en løpende daglig mulkt som ilegges den som ikke leverer pliktige opplysninger innen fastsatte frister eller dersom det er åpenbare feil ved de opplysninger som gis , eller den som ikke retter seg etter pålegg om bokføring innen fastsatt frist.;Bokmål;;tvangsmulkt;Skatteetatens ordliste i forbindelse med Ny skatteforvaltningslov;;
BEGREP-1843;Trekkpliktig;Dette gjelder arbeidsgivere som skal foreta lønnstrekk for skatt etter Svalbardskatteloven § 3-1 og Jan Mayen-skatteloven § 1, og den som skal engasjere utenlandsk artist eller stiller plass til rådighet for utenlandske arrangører.;en fysisk eller juridisk person som skal foreta lønnstrekk, jf. skfvl. § 8-8.;Bokmål;;trekkpliktig;Skatteetatens ordliste i forbindelse med Ny skatteforvaltningslov;;
BEGREP-1842;Tredjepartsopplysninger;Opplysningsplikt for tredjeparter gir regler om tredjeparters plikt til å gi opplysninger til skattemyndighetene av eget tiltak, uten at myndighetene har bedt om det. Slike tredjepartsopplysninger er en nødvendig forutsetning for forhåndsutfylling av skattemeldingen for personlige skattytere. Opplysningene gjelder ikke bare fastsetting av skatt, men er også kontrollopplysninger for andre lands skattemyndigheter. Reglene gjelder også tredjepartsopplysninger for MVA;opplysninger som tredjeparter som arbeidsgivere og banker er pliktige til å gi til skattemyndighetene, jf. skfvl. kapittel 7.;Bokmål;;ligningsoppgave (tredjepartsopplysninger);Skatteetatens ordliste i forbindelse med Ny skatteforvaltningslov;;
BEGREP-1841;TJ06 fastsetting og skatteoppgjør;;tjenesteområde fastsetting og skatteoppgjør i Skatteetaten;Bokmål;;TJ06 ligning og skatteoppgjør;Skatteetatens ordliste i forbindelse med Ny skatteforvaltningslov;;
BEGREP-1840;TJ05 skattemelding;;tjenesteområde skattemelding i Skatteetaten;Bokmål;;TJ05 selvangivelse;Skatteetatens ordliste i forbindelse med Ny skatteforvaltningslov;;
